date,feed,ep_num,title
2020-07-05T04:00:00+00:00,main,279,Michael with Kevin Porter
2020-07-11T04:00:01+00:00,patreon,68,Hanging Up with Sonia Sarayia
2020-07-12T04:00:00+00:00,main,280,You've Got Mail with Bobby Finger & Lindsey Weber
2020-07-19T04:00:00+00:00,main,281,Lucky Numbers with Alex Ross Perry
2020-07-21T04:01:00+00:00,patreon,69,Mission: Impossible 2
2020-07-26T04:00:00+00:00,main,282,Bewitched with Dana Schwartz
2020-08-01T04:01:03+00:00,patreon,70,Mission: Impossible 3
2020-08-02T04:00:00+00:00,main,283,Julie & Julia with Romilly Newman 
2020-08-09T04:00:00+00:00,main,284,Love & Basketball with Carl Tart
2020-08-11T04:15:04+00:00,patreon,71,Disappearing Acts
2020-08-16T04:00:00+00:00,main,285,The Secret Life of Bees with Jourdain Searles
2020-08-20T05:44:24+00:00,patreon,72,Mission: Impossible - Ghost Protocol
2020-08-23T05:02:00+00:00,main,286,Beyond the Lights with Ayo Edebiri
2020-08-30T04:07:00+00:00,main,287,The Old Guard 
2020-09-01T04:18:57+00:00,patreon,73,Mission: Impossible - Rogue Nation
2020-09-06T04:07:00+00:00,main,288,I Wanna Hold Your Hand with Patrick Willems
2020-09-11T04:30:16+00:00,patreon,74,The Way of the Gun
2020-09-13T05:05:00+00:00,main,289,Used Cars with Jason Mantzoukas & Paul Scheer
2020-09-20T04:00:00+00:00,main,290,Romancing the Stone with Adam Kempenaar & Josh Larsen
2020-09-21T04:01:00+00:00,patreon,75,Mission: Impossible - Fallout
2020-09-27T05:04:00+00:00,main,291,Back to the Future
2020-10-01T04:00:04+00:00,patreon,76,Alien
2020-10-04T09:10:00+00:00,main,292,Who Framed Roger Rabbit with Mike Mitchell & Nick Wiger
2020-10-11T04:00:00+00:00,main,293,Back to the Future Part II with Nicole Byer
2020-10-11T05:31:52+00:00,patreon,77,Talking Fanfare
2020-10-18T04:00:00+00:00,main,294,Back to the Future Part III with Josh Gondelman
2020-10-21T04:02:09+00:00,patreon,78,Aliens
2020-10-25T06:03:00+00:00,main,295,Death Becomes Her with Katey Rich
