date,feed,ep_num,title,movie,guest,movie_id,movie_original_title,release_date,vote_average,vote_count
2023-05-11T04:00:02+00:00,patreon,184f,Buster Keaton Shorts with Dana Stevens,The Balloonatic,Dana Stevens,45807,The Balloonatic,1923-01-22,6.304,84
2023-05-14T04:00:00+00:00,main,425a,Sherlock Jr. / The Navigator with James Urbaniak,Sherlock Jr.,James Urbaniak,992,Sherlock Jr.,1924-04-17,8.068,969
2023-05-14T04:00:00+00:00,main,425b,Sherlock Jr. / The Navigator with James Urbaniak,The Navigator,James Urbaniak,32318,The Navigator,1924-09-28,7.117,226
2023-05-21T04:00:00+00:00,main,426a,Seven Chances / Go West with Jamie Loftus,Seven Chances,Jamie Loftus,32600,Seven Chances,1925-03-15,7.517,263
2023-05-21T04:00:00+00:00,main,426b,Seven Chances / Go West with Jamie Loftus,Go West,Jamie Loftus,33015,Go West,1925-11-01,6.856,125
2023-05-21T04:00:02+00:00,patreon,185,Escape from the Planet of the Apes,Escape from the Planet of the Apes,,1687,Escape from the Planet of the Apes,1971-05-20,6.371,1054
2023-05-28T04:00:00+00:00,main,427a,Battling Butler / The General with Jamelle Bouie,Battling Butler,Jamelle Bouie,51371,Battling Butler,1926-08-02,6.799,87
2023-05-28T04:00:00+00:00,main,427b,Battling Butler / The General with Jamelle Bouie,The General,Jamelle Bouie,961,The General,1926-12-25,7.961,1215
2023-06-01T04:01:01+00:00,patreon,186,Conquest of the Planet of the Apes,Conquest of the Planet of the Apes,,1688,Conquest of the Planet of the Apes,1972-06-29,6.174,934
2023-06-04T04:00:00+00:00,main,428a,"College / Steamboat Bill, Jr. with John Hodgman",College,John Hodgman,34847,College,1927-09-10,6.8,113
2023-06-04T04:00:00+00:00,main,428b,"College / Steamboat Bill, Jr. with John Hodgman","Steamboat Bill, Jr.",John Hodgman,25768,"Steamboat Bill, Jr.",1928-05-09,7.6,327
2023-06-11T04:00:00+00:00,main,429a,The Cameraman / Spite Marriage,The Cameraman,,31411,The Cameraman,1928-09-10,7.868,360
2023-06-11T04:00:00+00:00,main,429b,The Cameraman / Spite Marriage,Spite Marriage,,51303,Spite Marriage,1929-03-24,6.7,53
2023-06-18T04:00:00+00:00,main,430a,The Moon Is…the Sun's Dream / Trio,The Moon Is…the Sun's Dream,,208619,달은... 해가 꾸는 꿈,1992-02-29,5.4,7
2023-06-18T04:00:00+00:00,main,430b,The Moon Is…the Sun's Dream / Trio,Trio,,262097,3인조,1997-05-24,4.286,7
2023-06-21T04:00:05+00:00,patreon,188,Battle for the Planet of the Apes,Battle for the Planet of the Apes,,1705,Battle for the Planet of the Apes,1973-06-15,5.717,916
2023-06-25T04:00:00+00:00,main,431, Joint Security Area,Joint Security Area,,2440,공동경비구역 JSA,2000-09-09,7.845,686
2023-07-01T04:01:50+00:00,patreon,189,Ocean's 11,Ocean's 11,,299,Ocean's Eleven,1960-08-10,6.37,342
2023-07-02T04:00:00+00:00,main,432,Sympathy for Mr. Vengeance with David Ehrlich,Sympathy for Mr. Vengeance,David Ehrlich,4689,복수는 나의 것,2002-03-29,7.462,1428
2023-07-09T04:00:00+00:00,main,433,Oldboy with Alison Willmore,Oldboy,Alison Willmore,670,올드보이,2003-11-21,8.255,8558
2023-07-16T04:00:00+00:00,main,434,Sympathy for Lady Vengeance with Karen Han,Sympathy for Lady Vengeance,Karen Han,4550,친절한 금자씨,2005-07-29,7.545,1632
2023-07-21T04:00:04+00:00,patreon,192,Ocean's Eleven,Ocean's Eleven,,161,Ocean's Eleven,2001-12-07,7.444,11461
2023-07-23T04:00:00+00:00,main,435,Mission: Impossible - Dead Reckoning Part One with Marie Bardi,Mission: Impossible - Dead Reckoning Part One,Marie Bardi,575264,Mission: Impossible - Dead Reckoning Part One,2023-07-08,7.55,3695
2023-07-30T04:00:00+00:00,main,436,Oppenheimer with Marie Bardi,Oppenheimer,Marie Bardi,872585,Oppenheimer,2023-07-19,8.089,9018
2023-08-01T04:00:04+00:00,patreon,193,Ocean's Twelve,Ocean's Twelve,,163,Ocean's Twelve,2004-12-09,6.568,7165
2023-08-06T04:00:00+00:00,main,437,"I'm a Cyborg, But That's OK with Karen Chee","I'm a Cyborg, But That's OK",Karen Chee,5488,싸이보그지만 괜찮아,2006-12-07,7.082,500
2023-08-11T04:00:04+00:00,patreon,194,The Little Drummer Girl with Whitney McIntosh,The Little Drummer Girl,Whitney McIntosh,10000030,Television override,9999-09-09,0,0
2023-08-13T04:00:00+00:00,main,438,Thirst with Hoai-Tran Bui,Thirst,Hoai-Tran Bui,22536,박쥐,2009-04-30,7.101,928
2023-08-20T04:00:00+00:00,main,439,Stoker with Emily St. James,Stoker,Emily St. James,86825,Stoker,2013-02-28,6.7,2190
2023-08-21T04:00:01+00:00,patreon,195,Ocean’s Thirteen,Ocean’s Thirteen,,298,Ocean's Thirteen,2007-06-05,6.727,6247
2023-08-27T04:00:00+00:00,main,440, The Handmaiden with Emily Yoshida,The Handmaiden,Emily Yoshida,290098,아가씨,2016-06-01,8.2,3683
2023-09-01T04:00:01+00:00,patreon,196,Ocean's 8,Ocean's 8,,402900,Ocean's Eight,2018-06-07,6.985,8201
2023-09-03T04:00:00+00:00,main,441,Decision to Leave with Tatiana Maslany,Decision to Leave,Tatiana Maslany,705996,헤어질 결심,2022-06-29,7.4,1145
2023-09-10T04:00:00+00:00,main,442,Alien³ with Matt Singer,Alien³,Matt Singer,8077,Alien³,1992-05-22,6.4,5571
2023-09-11T04:00:03+00:00,patreon,197a,Alien vs. Predator / Aliens vs. Predator: Requiem,Alien vs. Predator,,395,AVP: Alien vs. Predator,2004-08-12,5.918,4350
2023-09-11T04:00:03+00:00,patreon,197b,Alien vs. Predator / Aliens vs. Predator: Requiem,Aliens vs. Predator: Requiem,,440,Aliens vs Predator: Requiem,2007-12-25,5.2,2860
2023-09-17T04:00:00+00:00,main,443, Se7en with Mike Mitchell & Nick Wiger,Se7en,Mike Mitchell & Nick Wiger,807,Se7en,1995-09-22,8.375,20820
2023-09-21T04:00:04+00:00,patreon,198,GoldenEye,GoldenEye,,710,GoldenEye,1995-11-16,6.891,3819
2023-09-24T04:00:00+00:00,main,444, The Game with Brendan Hines,The Game,Brendan Hines,2649,The Game,1997-09-12,7.568,6468
2023-10-01T04:00:00+00:00,main,445,Fight Club with Alex Ross Perry,Fight Club,Alex Ross Perry,550,Fight Club,1999-10-15,8.439,29172
2023-10-01T04:00:05+00:00,patreon,199,Tomorrow Never Dies with Jason Mantzoukas,Tomorrow Never Dies,Jason Mantzoukas,714,Tomorrow Never Dies,1997-12-11,6.36,3028
2023-10-08T04:00:00+00:00,main,446,Panic Room with Eva Anderson,Panic Room,Eva Anderson,4547,Panic Room,2002-03-29,6.777,4863
2023-10-11T04:00:03+00:00,patreon,201,David Fincher Music Videos,David Fincher Music Videos,,10000110,Television override,9999-09-09,0,0
2023-10-15T04:00:00+00:00,main,447,Zodiac with Leslye Headland,Zodiac,Leslye Headland,1949,Zodiac,2007-03-02,7.526,10365
2023-10-21T04:00:02+00:00,patreon,202,The World Is Not Enough,The World Is Not Enough,,36643,The World Is Not Enough,1999-11-17,6.271,2868
2023-10-22T04:00:00+00:00,main,448,The Curious Case of Benjamin Button with Richard Lawson,The Curious Case of Benjamin Button,Richard Lawson,4922,The Curious Case of Benjamin Button,2008-12-25,7.588,12631
2023-10-29T04:00:00+00:00,main,449,The Social Network,The Social Network,,37799,The Social Network,2010-10-01,7.368,11939
2023-11-01T04:00:05+00:00,patreon,203,Die Another Day,Die Another Day,,36669,Die Another Day,2002-11-17,5.987,3455
2023-11-05T04:00:00+00:00,main,450, The Girl with the Dragon Tattoo with Fran Hoepfner,The Girl with the Dragon Tattoo,the Dragon Tattoo,65754,The Girl with the Dragon Tattoo,2011-12-14,7.373,6894
2023-11-11T05:00:03+00:00,patreon,204,The Empty Man,The Empty Man,,516632,The Empty Man,2020-10-22,6.135,791
2023-11-12T05:00:00+00:00,main,451,Gone Girl with Esther Zuckerman,Gone Girl,Esther Zuckerman,210577,Gone Girl,2014-10-01,7.893,18431
2023-11-19T05:00:00+00:00,main,452,Mank with Sean Fennessey,Mank,Sean Fennessey,614560,Mank,2020-11-13,6.7,1572
2023-11-21T05:00:02+00:00,patreon,205,Austin Powers: International Man of Mystery,Austin Powers: International Man of Mystery,,816,Austin Powers: International Man of Mystery,1997-05-02,6.564,3340
2023-11-26T05:00:00+00:00,main,453,The Killer with Marie Bardi,The Killer,Marie Bardi,800158,The Killer,2023-10-25,6.573,2052
2023-12-01T05:00:03+00:00,patreon,206,Austin Powers: The Spy Who Shagged Me,Austin Powers: The Spy Who Shagged Me,,817,Austin Powers: The Spy Who Shagged Me,1999-06-08,6.275,3271
2023-12-03T05:00:00+00:00,main,454,I Love You to Death,I Love You to Death,,3101,I Love You to Death,1990-04-06,6.41,249
2023-12-10T05:00:00+00:00,main,455,The Boy and the Heron with J.D. Amato,The Boy and the Heron,J.D. Amato,508883,君たちはどう生きるか,2023-07-14,7.498,1655
2023-12-11T05:00:04+00:00,patreon,207,Austin Powers in Goldmember,Austin Powers in Goldmember,,818,Austin Powers in Goldmember,2002-07-26,5.986,3072
2023-12-17T05:00:00+00:00,main,456,Maestro with Marie Bardi-Salinas,Maestro,Marie Bardi-Salinas,523607,Maestro,2023-11-22,6.375,686
2023-12-31T05:00:00+00:00,main,457a,Wonkquaman with Marie Bardi-Salinas,Wonka,Marie Bardi-Salinas,787699,Wonka,2023-12-06,7.137,3373
2023-12-31T05:00:00+00:00,main,457b,Wonkquaman with Marie Bardi-Salinas,Aquaman and the Lost Kingdom,Marie Bardi-Salinas,572802,Aquaman and the Lost Kingdom,2023-12-20,6.684,2720
2024-01-01T05:00:05+00:00,patreon,209,The Love Guru,The Love Guru,,12177,The Love Guru,2008-06-20,4.108,697
2024-01-07T05:00:00+00:00,main,458,Ferrari with Bilge Ebiri,Ferrari,Bilge Ebiri,365620,Ferrari,2023-12-14,6.476,911
2024-01-14T05:00:00+00:00,main,459,A Star Is Born (1976) with Rachel Zegler,A Star Is Born (1976),Rachel Zegler,19610,A Star Is Born,1976-12-17,5.975,217
2024-01-21T05:00:00+00:00,main,460,Yentl with Jordan Hoffman,Yentl,Jordan Hoffman,10269,Yentl,1983-11-18,6.607,228
2024-01-21T06:47:24+00:00,patreon,211,The Terminator,The Terminator,,218,The Terminator,1984-10-26,7.66,12986
2024-01-24T05:00:00+00:00,main,461,A Conversation with Amy Irving,A Conversation,Amy Irving,510571,A Conversation,2018-01-01,0.0,0
